\database\database_achieveInfo.msbt
AchieveName_001	Super Striker
AchieveFirstBorder_001	Win %d sushi battles!
AchieveInfo_001	You've won\n%d sushi battles!
AchieveName_002	Multi Striker
AchieveFirstBorder_002	Win %d multiplayer battles!
AchieveFirstBorder_002_sgl	Win %d multiplayer battle!
AchieveInfo_002	You've won\n%d multiplayer battles!
AchieveInfo_002_sgl	You've won\n%d multiplayer battle!
AchieveName_003	Sushi Lover
AchieveFirstBorder_003	Eat %d pieces of sushi!
AchieveInfo_003	You've eaten\n%d pieces of sushi!
AchieveName_004	Fruit Lover
AchieveFirstBorder_004	Eat %d pieces of fruit!
AchieveInfo_004	You've eaten\n%d pieces of fruit!
AchieveName_005	Sweets Lover
AchieveFirstBorder_005	Eat %d sweets!
AchieveInfo_005	You've eaten\n%d sweets!
AchieveName_006	Pledge Pro
AchieveFirstBorder_006	Pledge with\n%d sushi sprites!
AchieveInfo_006	You've pledged with\n%d sushi sprites!
AchieveName_007	Raw Powerhouse
AchieveFirstBorder_007_sgl	Acquire %d raw power!
AchieveInfo_007	You've acquired\n%d raw powers!
AchieveInfo_007_sgl	You've acquired\n%d raw power!
AchieveName_008	Star Collector
AchieveFirstBorder_008	Collect %d stars!
AchieveInfo_008	You've collected\n%d stars!
AchieveName_009	Super S-Grader
AchieveFirstBorder_009	Earn %d S grades!
AchieveInfo_009	You've earned\n%d S grades!
AchieveName_010	Rainbow Grader
AchieveFirstBorder_010	Earn %d Rainbow S grades!
AchieveInfo_010	You've earned\n%d Rainbow S grades!
AchieveName_011	Sprite Savant
AchieveFirstBorder_011	Raise %d sushi sprites\nto the max!
AchieveFirstBorder_011_sgl	Raise %d sushi sprite\nto the max!
AchieveInfo_011	You've raised %d\nsushi sprites to the max!
AchieveInfo_011_sgl	You've raised %d\nsushi sprite to the max!
AchieveName_012	Stack Master
AchieveFirstBorder_012	Stack %d sushi plates!
AchieveInfo_012	You've stacked\n%d sushi plates!
AchieveName_013	Attack Master
AchieveFirstBorder_013	Deal %d damage\nwith one attack!
AchieveInfo_013	You've dealt %d damage\nwith one attack!
AchieveName_014	Combo Master
AchieveFirstBorder_014	Deal %d damage with\na combo bonus!
AchieveInfo_014	You've dealt %d damage\nwith a combo bonus!
AchieveName_015	Fearsome Finisher
AchieveFirstBorder_015	Deal %d damage\nwith a finishing attack!
AchieveInfo_015	You've dealt %d damage\nwith a finishing attack!
AchieveName_016	Puzzle Streaker
AchieveFirstBorder_016	Win %d matches in a row\nat the Puzzle Hut!
AchieveInfo_016	You've won %d matches\nin a row at the Puzzle Hut!
AchieveName_017	Black Belt
AchieveFirstBorder_017	Earn the Black Belt Bonus\n%d times!
AchieveInfo_017	You've earned the\nBlack Belt Bonus %d times!
\database\database_adviceInfo.msbt
AdviceInfo_001	One long link of plates is often\nbetter than a few small ones.
AdviceInfo_002	Don't let the sushi passing by make\nyou anxious—focus on longer links.
AdviceInfo_003	The longer links of plates you form,\nthe faster the jubilee gauge fills!
AdviceInfo_004	During a sushi jubilee, the damage\nyou deal increases by 50%!
AdviceInfo_005	A link with plates of only the same\nsushi is 30% more powerful!
AdviceInfo_006	Link seven or more plates and\na glowing plate will appear\nin the last used lane!
AdviceInfo_007	A stack with a glowing plate cannot\nbe toppled by the enemy's attack!
AdviceInfo_008	As a sushi sprite gains levels,\nit offers higher quality sushi!
AdviceInfo_009	Hitting with stacks of the same plate\ncolor is a more powerful Combo!
AdviceInfo_010	If things seem dire, remember that\neating fruit restores a bit of HP.
AdviceInfo_011	Advanced Tactics is full of good\nhints for winning battles!
AdviceInfo_012	Use Skill Charms on sushi sprites\nto increase the level of their skills!
AdviceInfo_013	If you hit a wall, revisit earlier stages\nto earn more stars and experience.
AdviceInfo_014	Earn Triumphs and raise your striker\nrank for easier pledging with sprites.
AdviceInfo_015	Press the Striker Rank button to see\nwhat's needed to increase your rank.
AdviceInfo_016	An "!" will appear at the Sushi Sprite\nShrine when you're ready to rank up.
\database\database_area.msbt
areaName_area01	Republic
areaName_area02	Seashore
areaName_area03	Volcano
areaName_area04	Western Empire
areaName_area04Sub	Imperial Rim
areaName_area04Camp	Base Camp
areaName_area05	Tundra
areaName_area06	Central Empire
areaName_area06Sub	Eastern Empire
areaName_area07	Imperial Palace
areaName_area08	Remote Island
areaName_home	Shrine Grove
areaText_area01	A warm, pastoral region. After\nlosing the Sushi Struggles to\nthe Empire, it has become a\nwasteland for sushi.
areaText_area02	A sunlit region under the\nEmpire's control. The old\nbeach resort is now an\nImperial stronghold.
areaText_area03	This Empire-held mountain is\nknown as much for its rich\ngem mines and hot springs\nas for its active volcano. 
areaText_area04	An arid land that nevertheless\nyields a bounty of crops.\nThe bridge leading to the\nImperial homeland lies past\nthe impregnable Fort Fugu.
areaText_area04Sub	Far to the west, where the\nEmpire's control is tenuous,\nthe culture of the Republic\nand its hidden shrines persist.
