\database\database_area.msbt
areaName_area01	{r[きょうわこく]}共和国{/r}
areaName_area02	{r[かいがん]}海岸{/r}エリア
areaName_area03	{r[かざん]}火山{/r}エリア
areaName_area04	{r[ていこくにし]}帝国西{/r}エリア
areaName_area04Sub	{r[ていこくにし]}帝国西{/r}エリア{r[おくち]}奥地{/r}
areaName_area04Camp	{r[やえい]}野営{/r}キャンプ
areaName_area05	{r[ゆきやま]}雪山{/r}エリア
areaName_area06	{r[ていこくほんど]}帝国本土{/r}エリア
areaName_area06Sub	{r[ていこくみなみ]}帝国南{/r}エリア
areaName_area07	{r[ていこくきゅうでん]}帝国宮殿{/r}
areaName_area08	{r[なぞ]}謎{/r}の{r[こじま]}小島{/r}
areaName_area50	スシロー{r[じま]}島{/r}エリア
areaName_home	{r[ちんじゅ]}鎮守{/r}の{r[もり]}森{/r}のかくれ{r[さと]}里{/r}
areaText_area01	{r[あたた]}暖{/r}かな{r[きこう]}気候{/r}の{r[しぜん]}自然{/r}ゆたかな{r[くに]}国{/r}。\n{r[せかい]}世界{/r}スシ{r[たいせん]}大戦{/r}で{r[ていこく]}帝国{/r}に{r[はいぼく]}敗北{/r}。\n{r[め]}目{/r}ぼしいスシをすべてうばわれ、\nスシ{r[ふもう]}不毛{/r}の{r[ち]}地{/r}と{r[い]}言{/r}われていたが…
areaText_area02	まぶしい{r[たいよう]}太陽{/r}が{r[て]}照{/r}りつける{r[ちいき]}地域{/r}。\n{r[ていこく]}帝国{/r}の{r[しはいか]}支配下{/r}にある。\nかつてリゾートだった{r[しま]}島{/r}・コドー\nも{r[いま]}今{/r}や{r[ていこくぐん]}帝国軍{/r}の{r[とりで]}砦{/r}となっている。
areaText_area03	{r[も]}燃{/r}えたぎる{r[かつかざん]}活火山{/r}・{r[ひゃっきかざん]}百鬼火山{/r}の\nある{r[ちいき]}地域{/r}。{r[ていこく]}帝国{/r}の{r[しはいか]}支配下{/r}にある。\n{r[みなみ]}南{/r}には{r[おんせん]}温泉{/r}、{r[きた]}北{/r}には{r[ほうせきこうざん]}宝石鉱山{/r}が\nあり、{r[いがい]}意外{/r}にもにぎわっている。
areaText_area04	かつて{r[ゆうぼくみん]}遊牧民{/r}がくらしていた{r[かんそう]}乾燥{/r}\n{r[ちたい]}地帯{/r}だが、{r[いま]}今{/r}は{r[ゆた]}豊{/r}かな{r[のうち]}農地{/r}に。\n{r[ていこくほんど]}帝国本土{/r}へ{r[つづ]}続{/r}く{r[はし]}橋{/r}は、{r[なんこうふらく]}難攻不落{/r}の\n{r[ようさい]}要塞{/r}ナバによって{r[まも]}守{/r}られている。
areaText_area04Sub	{r[ていこく]}帝国{/r}の{r[しはい]}支配{/r}の{r[め]}目{/r}がゆきとどき\nにくい{r[にし]}西{/r}の{r[おくち]}奥地{/r}には、{r[きょうわこく]}共和国{/r}\nだったころの{r[ぶんか]}文化{/r}が{r[いま]}今{/r}も{r[のこ]}残{/r}り、\nかくれ{r[じんじゃ]}神社{/r}も{r[そんざい]}存在{/r}するという。
areaText_area04Camp	スシ{r[かいほうせんせん]}解放戦線{/r}の{r[ていこくせいぶこうりゃく]}帝国西部攻略{/r}の\n{r[きょてん]}拠点{/r}となっているキャンプ。\n{r[さくせん]}作戦{/r}は{r[じゅんちょう]}順調{/r}に{r[すす]}進{/r}んでいるかの\nように{r[み]}見{/r}えたのだが…。
